id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13556933,Sunporch Suite w/ private entrance,78069256,Laura,,28804,35.63449,-82.53648,Private room,59,1,136,2019-02-10,4.50,2,130
13582513,BEST West Asheville Location! Walk everywhere.,40234911,Sage,,28806,35.58114,-82.5949,Entire home/apt,75,2,129,2019-01-27,4.22,2,348
13606248,"Asheville Downtown Cozy Cottage , WIFI, Parking",78726475,Randy,,28801,35.59173,-82.55824,Entire home/apt,144,30,46,2018-12-27,1.43,3,179
13617638,Walkable Montford Oasis-near dwntwn,78848973,Samala,,28801,35.59737,-82.56375,Private room,61,2,137,2019-01-27,4.25,1,4
13648659,5* STEEL SUITE@UTOPIA ~ HOT-TUB ~ <$10 UBER DTN,1994122,Marc & Fay,,28805,35.61258,-82.52601,Entire home/apt,69,1,205,2019-02-11,6.64,9,171
13674901,Lovely Space//Private Entrance and Bath,57323381,Leslie,,28803,35.55043,-82.52338,Private room,51,1,111,2019-02-11,3.45,1,113
13684589,Modern greenbuilt home in hip West Asheville,79691715,Myrick,,28806,35.58378,-82.58659,Entire home/apt,350,2,0,,,1,0
13700790,Cozy Room in South Asheville,37737144,Kwadwo,,28704,35.4749,-82.50163,Private room,30,1,176,2019-01-30,5.49,4,352
13706838,Spacious home; heart of W. Aville w/shared kitchen,36805990,Caryn,,28806,35.58479,-82.59613,Entire home/apt,165,2,13,2018-07-29,0.41,1,0
13708322,The Abode Abides,28173202,Adam,,28806,35.5973,-82.64165,Entire home/apt,150,2,15,2018-11-25,0.47,1,365
13716891,The Zen Cabin,7429638,Tami,,28804,35.61609,-82.55306,Entire home/apt,80,2,223,2019-02-03,7.12,1,326
13725727,Cute and comfy in East Asheville!,10299027,Kate,,28803,35.56125,-82.50431,Private room,55,1,73,2019-01-01,3.47,1,154
